antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'LUNCH BAG  BLACK SKULL.'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})",0.09502262443438914,0.058823529411764705,0.04072398190045249,0.4285714285714286,7.2857142857142865,1.0,0.03513441575725313,1.647058823529412,0.9533333333333335,0.36,0.3928571428571429,0.5604395604395604
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})",frozenset({'LUNCH BAG  BLACK SKULL.'}),0.058823529411764705,0.09502262443438914,0.04072398190045249,0.6923076923076923,7.285714285714286,1.0,0.03513441575725313,2.941176470588235,0.9166666666666666,0.36,0.66,0.5604395604395604
frozenset({'LUNCH BAG SUKI DESIGN'}),frozenset({'LUNCH BAG CARS BLUE'}),0.07692307692307693,0.1085972850678733,0.058823529411764705,0.7647058823529411,7.041666666666666,1.0,0.050469892098851374,3.7884615384615374,0.9294871794871794,0.4642857142857143,0.7360406091370557,0.6531862745098038
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN'}),0.1085972850678733,0.07692307692307693,0.058823529411764705,0.5416666666666666,7.041666666666666,1.0,0.050469892098851374,2.0139860139860137,0.9625146427176884,0.4642857142857143,0.5034722222222221,0.6531862745098038
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SUKI DESIGN'})",frozenset({'LUNCH BAG CARS BLUE'}),0.05429864253393665,0.1085972850678733,0.04072398190045249,0.75,6.90625,1.0,0.03482729673839602,3.5656108597285066,0.9043062200956937,0.3333333333333333,0.7195431472081218,0.5625
frozenset({'LUNCH BAG CARS BLUE'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SUKI DESIGN'})",0.1085972850678733,0.05429864253393665,0.04072398190045249,0.375,6.90625,1.0,0.03482729673839602,1.5131221719457013,0.9593908629441624,0.3333333333333333,0.33911483253588515,0.5625
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.07239819004524888,0.08597285067873303,0.04072398190045249,0.5625,6.542763157894737,1.0,0.03449970311828177,2.0892049127343246,0.9132791327913279,0.34615384615384615,0.5213490099009901,0.518092105263158
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.08597285067873303,0.07239819004524888,0.04072398190045249,0.4736842105263158,6.542763157894736,1.0,0.03449970311828177,1.7624434389140273,0.9268426842684268,0.34615384615384615,0.4326059050064185,0.518092105263158
frozenset({'LUNCH BAG SUKI DESIGN'}),frozenset({'LUNCH BAG WOODLAND'}),0.07692307692307693,0.08144796380090498,0.04072398190045249,0.5294117647058824,6.5,1.0,0.03445875391576749,1.9519230769230769,0.9166666666666666,0.34615384615384615,0.4876847290640395,0.5147058823529411
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.1085972850678733,0.07692307692307693,0.05429864253393665,0.5,6.5,1.0,0.04594500522102332,1.8461538461538463,0.9492385786802031,0.41379310344827586,0.4583333333333333,0.6029411764705882
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SUKI DESIGN'}),0.08144796380090498,0.07692307692307693,0.04072398190045249,0.5,6.5,1.0,0.03445875391576749,1.8461538461538463,0.9211822660098523,0.34615384615384615,0.4583333333333333,0.5147058823529411
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.07692307692307693,0.1085972850678733,0.05429864253393665,0.7058823529411764,6.499999999999999,1.0,0.04594500522102332,3.0307692307692298,0.9166666666666666,0.41379310344827586,0.6700507614213197,0.6029411764705882
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.08144796380090498,0.09502262443438914,0.049773755656108594,0.611111111111111,6.431216931216931,1.0,0.04203435638090948,2.3270846800258562,0.9193909538737125,0.39285714285714285,0.5702777777777777,0.5674603174603174
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG WOODLAND'}),0.09502262443438914,0.08144796380090498,0.049773755656108594,0.5238095238095238,6.431216931216931,1.0,0.04203435638090948,1.9289592760180996,0.9331818181818182,0.39285714285714285,0.48158573774337327,0.5674603174603174
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.09502262443438914,0.07692307692307693,0.04524886877828054,0.4761904761904762,6.190476190476191,1.0,0.03793943612948138,1.7622377622377625,0.9265,0.35714285714285715,0.43253968253968256,0.5322128851540616
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.07692307692307693,0.09502262443438914,0.04524886877828054,0.588235294117647,6.19047619047619,1.0,0.03793943612948138,2.1978021978021975,0.9083333333333333,0.35714285714285715,0.5449999999999999,0.5322128851540616
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.06787330316742081,0.1085972850678733,0.04524886877828054,0.6666666666666667,6.138888888888889,1.0,0.037878012325709955,2.6742081447963804,0.8980582524271844,0.3448275862068966,0.6260575296108292,0.5416666666666667
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.09502262443438914,0.1085972850678733,0.06334841628959276,0.6666666666666666,6.138888888888888,1.0,0.05302921725599394,2.6742081447963795,0.9249999999999999,0.45161290322580644,0.6260575296108292,0.625
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG CARS BLUE'}),0.08144796380090498,0.1085972850678733,0.05429864253393665,0.6666666666666666,6.138888888888888,1.0,0.04545361479085195,2.6742081447963795,0.9113300492610839,0.4,0.6260575296108292,0.5833333333333333
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.1085972850678733,0.09502262443438914,0.06334841628959276,0.5833333333333333,6.138888888888888,1.0,0.05302921725599394,2.171945701357466,0.9390862944162437,0.45161290322580644,0.5395833333333333,0.625
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG WOODLAND'}),0.1085972850678733,0.08144796380090498,0.05429864253393665,0.5,6.138888888888888,1.0,0.04545361479085195,1.83710407239819,0.9390862944162437,0.4,0.4556650246305419,0.5833333333333333
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.1085972850678733,0.06787330316742081,0.04524886877828054,0.41666666666666663,6.138888888888888,1.0,0.037878012325709955,1.5979314802844213,0.9390862944162437,0.3448275862068966,0.37419093851132684,0.5416666666666667
